,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
279,MATH_S2590054419300041,1441,321,27,45,80,44,16,24,28,22,14,6,13,4,2,2,6,7,1,1
280,MEDI_S0168827819301126,2819,794,197,96,105,86,145,78,77,38,42,9,27,12,6,9,19,8,2,0
281,MEDI_S019567011830272X,1824,337,53,44,61,97,89,62,49,26,38,17,16,11,1,12,11,16,0,0
282,MEDI_S0272638616306357,1984,381,75,90,99,76,86,32,55,26,40,14,18,13,3,14,5,7,5,0
283,MEDI_S0895435613003818,1713,348,66,111,57,126,154,56,33,80,25,30,11,22,16,6,1,8,3,2
284,MEDI_S1389945717300370,3681,715,222,120,251,110,130,89,62,55,55,13,15,17,17,9,13,10,1,0
285,MEDI_S147330991730419X,2152,451,75,74,117,83,122,52,53,39,31,43,15,6,11,27,4,34,0,0
286,MEDI_S1569199317300905,732,146,46,21,19,25,34,24,8,7,5,3,4,4,2,2,1,1,0,0
287,MEDI_S1808869418300879,1536,377,88,42,57,78,77,41,47,18,16,1,12,1,4,3,10,3,6,0
288,MEDI_S1808869418306232,914,223,27,32,28,23,23,23,5,5,14,3,3,6,6,4,0,1,3,0
289,MEDI_S2210261217300743,372,109,18,15,13,21,18,6,23,7,4,0,1,0,1,3,2,0,2,0
290,MEDI_S221026121830542X,918,225,50,28,25,26,57,16,5,13,6,4,4,5,5,3,2,1,2,0
291,MEDI_S2210261219301105,1071,250,37,16,48,15,63,29,16,7,15,8,4,2,1,5,9,12,1,0
292,MEDI_S2210261219301610,827,228,49,31,64,16,60,18,8,13,6,4,6,2,5,7,4,1,2,0
293,MEDI_S2210261219302627,717,142,35,18,30,16,41,12,15,15,10,0,2,7,1,3,0,0,3,2
294,MEDI_S2210261219303979,648,148,25,18,25,12,44,13,13,6,8,2,0,2,4,5,3,1,2,0
295,MEDI_S221026121930611X,1238,313,54,41,64,26,56,27,27,12,14,10,11,9,0,0,3,1,3,0
296,MEDI_S2210261219306121,1197,283,34,34,50,37,63,28,13,19,14,4,12,1,2,10,0,2,3,0
297,MEDI_S2352187216300213,1410,350,45,55,11,71,27,26,45,20,6,77,17,18,5,2,7,6,3,0
298,MEDI_S2359348215000846,1758,354,127,70,88,76,89,61,30,24,40,5,18,20,4,7,11,3,2,0
299,MEDI_S2452231719300090,1310,367,82,47,65,53,59,37,21,27,47,10,10,11,3,9,6,7,2,1
300,NEUR_S0014488616301157,2510,584,100,98,128,76,79,109,38,27,28,12,22,22,8,3,9,1,0,0
301,NEUR_S001448861830606X,3143,563,89,74,192,81,130,33,54,23,25,12,9,8,22,23,36,5,1,0
302,NEUR_S0168010219303207,2638,544,81,83,134,64,139,26,37,13,14,9,24,3,4,5,16,6,2,0
303,NEUR_S0301008219300826,5013,876,275,108,271,109,101,162,67,36,70,25,30,7,8,25,22,8,11,1
304,NEUR_S0301008219301145,4817,1030,245,215,88,114,73,109,25,98,53,41,31,17,29,32,12,13,10,1
305,NEUR_S0306452213010373,2015,418,93,59,74,50,75,43,29,20,42,4,9,1,5,4,6,7,2,0
306,NEUR_S0378595519303673,3907,577,247,165,186,128,176,74,81,52,31,15,19,17,8,11,13,8,3,0
307,NEUR_S0896627317306384,7472,1383,205,143,231,162,161,127,90,48,60,28,28,23,18,21,30,7,5,0
308,NEUR_S1053811914006338,3163,553,81,89,99,110,52,38,131,53,10,45,23,17,19,20,10,23,3,1
309,NEUR_S1053811915003614,2940,721,149,78,65,67,230,48,37,37,29,27,16,10,14,20,15,8,2,0
310,NEUR_S1053811915005558,3887,1027,96,132,65,176,97,82,72,26,26,25,23,19,1,14,22,17,1,1
311,NEUR_S1053811915009660,4486,1029,164,174,155,121,89,90,44,80,33,24,21,31,53,27,10,10,10,1
312,NEUR_S105381191501037X,4878,1624,43,292,136,355,99,131,112,143,47,46,38,54,42,48,12,41,5,0
313,NEUR_S1053811916000616,3574,708,279,101,48,116,69,104,65,76,26,16,23,32,30,34,16,49,3,0
314,NEUR_S1053811916301112,4229,714,82,98,144,121,62,112,121,52,43,11,24,18,13,31,10,5,3,0
315,NEUR_S1053811916303901,4681,1294,285,139,172,106,104,88,62,40,28,18,30,20,12,22,27,30,5,2
316,NEUR_S1053811917302197,4303,757,222,143,97,127,130,86,91,41,21,20,25,31,17,25,34,9,7,5
317,NEUR_S1053811918305573,2550,474,47,99,43,83,49,36,74,22,9,16,10,16,19,6,6,24,0,1
318,NEUR_S1053811919309267,2894,551,89,75,140,84,57,91,83,25,38,18,8,10,12,7,7,11,1,0
319,NEUR_S1878929318301336,6287,1083,290,153,179,196,341,184,185,83,62,109,30,23,50,48,17,24,17,11
320,NURS_S0020748915001601,3148,537,121,116,130,152,231,95,56,50,28,22,19,18,18,19,4,5,3,3
