Unnamed: 0,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
0,ARTS_S0039368115001612,0.19264790350373348,0.24107142857142852,0.3007360672975815,0.21655172413793103,0.22044088176352702,0.2829076620825147,0.21708185053380782,0.07823960880195599,0.11598746081504702,0.1892744479495268,0.08666666666666667,0.02756892230576441,0.22222222222222224,0.3368421052631579,0.0625,0.13970588235294118,0.2361111111111111,0.2909090909090909,0.7647058823529411,0.9696969696969697
1,ARTS_S0039368116300449,0.24968408960367605,0.41886645962732916,0.2754994742376446,0.22206896551724137,0.31462925851703405,0.3182711198428291,0.16014234875444838,0.20374898125509372,0.1786833855799373,0.29337539432176657,0.2816666666666667,0.10526315789473684,0.2474747474747475,0.30526315789473685,0.07589285714285714,0.21323529411764705,0.08333333333333333,0.19999999999999998,0.3529411764705882,0.15151515151515152
2,ARTS_S0039368117300390,0.42469844916714533,0.358695652173913,0.49737118822292326,0.46344827586206894,0.47094188376753504,0.5147347740667976,0.46619217081850534,0.15647921760391195,0.08150470219435738,0.4889589905362776,0.12166666666666667,0.08771929824561403,0.4444444444444445,0.4842105263157895,0.5357142857142857,0.25,0.3611111111111111,0.6727272727272727,0.8529411764705882,0.7272727272727273
3,ARTS_S0039368117300717,0.21797817346352671,0.25504658385093165,0.22818086225026288,0.12551724137931033,0.2565130260521042,0.1886051080550098,0.3238434163701068,0.07823960880195599,0.08463949843260188,0.21766561514195581,0.06833333333333334,0.07268170426065163,0.12121212121212122,0.18421052631578946,0.11160714285714285,0.22058823529411764,0.15277777777777776,0.16363636363636364,0.11764705882352941,0.42424242424242425
4,ARTS_S0039368118300190,0.2957495692130959,0.3823757763975155,0.23028391167192427,0.32275862068965516,0.3807615230460921,0.41846758349705304,0.35587188612099646,0.2616136919315403,0.1786833855799373,0.49842271293375395,0.25333333333333335,0.11528822055137844,0.26262626262626265,0.28421052631578947,0.6785714285714285,0.08088235294117647,0.09722222222222221,0.41818181818181815,0.5588235294117647,0.5151515151515151
5,ARTS_S0160932715300235,0.06651349798966111,0.06677018633540371,0.11356466876971609,0.06068965517241379,0.1282565130260521,0.08447937131630648,0.2455516014234875,0.02852485737571312,0.06269592476489028,0.05362776025236593,0.04833333333333334,0.007518796992481203,0.03535353535353536,0.07368421052631578,0.017857142857142856,0.051470588235294115,0.027777777777777776,0.10909090909090909,0.058823529411764705,0.30303030303030304
6,ARTS_S0160932715300284,0.1977024698449167,0.2694099378881988,0.3459516298633018,0.18620689655172412,0.3486973947895791,0.15324165029469547,0.5177935943060498,0.097799511002445,0.05956112852664577,0.07886435331230285,0.24500000000000002,0.042606516290726815,0.18181818181818182,0.17894736842105263,0.08928571428571427,0.051470588235294115,0.18055555555555555,0.3090909090909091,0.3235294117647059,0.18181818181818182
7,ARTS_S0160932716300035,0.3344629523262493,0.2573757763975155,0.5141955835962145,0.2455172413793103,0.42685370741482964,0.1728880157170923,0.20462633451957293,0.12876935615321922,0.02821316614420063,0.17350157728706622,0.24500000000000002,0.14536340852130325,0.2777777777777778,0.26842105263157895,0.1607142857142857,0.10294117647058823,0.2361111111111111,0.3818181818181818,0.4411764705882353,0.0
8,ARTS_S0160932716300308,0.1533601378518093,0.13819875776397514,0.08622502628811778,0.10482758620689654,0.2284569138276553,0.24361493123772102,0.08185053380782917,0.039119804400977995,0.04702194357366771,0.11987381703470032,0.043333333333333335,0.07268170426065163,0.13131313131313133,0.10526315789473684,0.09821428571428571,0.051470588235294115,0.1388888888888889,0.2727272727272727,0.2647058823529412,0.030303030303030304
9,ARTS_S0160932718300012,0.13159103963239518,0.12965838509316768,0.1398527865404837,0.14344827586206896,0.26452905811623245,0.08447937131630648,0.15302491103202845,0.09372453137734311,0.02821316614420063,0.08201892744479496,0.36333333333333334,0.08771929824561403,0.11111111111111112,0.08947368421052632,0.125,0.044117647058823525,0.08333333333333333,0.07272727272727272,0.29411764705882354,0.21212121212121213
